ipca;ano-mês;ipca_acum_12m;ipca_acum_10y;selic;cdi_acum_365d;cdi_acum_3650d;dolar;ibovespa;sp500;nasdaq;ouro
-0,36;2022-08;9,65;60,85;13,75;0,1;1,26;5,12;110501,0;4145,19;12644,46;1760,3
-0,29;2022-09;8,42;60,08;13,75;0,11;1,27;5,22;110547,0;3899,89;11535,02;1670,8
0,59;2022-10;6,97;59,22;13,75;0,11;1,28;5,26;115977,0;3719,98;10792,67;1660,7
0,41;2022-11;6,31;59,22;13,75;0,12;1,29;5,31;111370,5;3957,25;11114,15;1744,9
0,62;2022-12;5,77;59,03;13,75;0,12;1,3;5,24;107689,0;3895,75;10810,53;1795,9
0,53;2023-01;5,66;58,86;13,75;0,13;1,32;5,18;111736,0;3977,89;11040,13;1912,8
0,84;2023-02;5,65;58,53;13,75;0,13;1,33;5,18;108303,0;4090,46;11816,32;1851,9
0,71;2023-03;5,48;58,77;13,75;0,13;1,34;5,21;102932,0;3970,99;11675,54;1926,6
0,61;2023-04;4,57;59,01;13,75;0,13;1,35;5,05;103930,0;4129,79;12087,96;1995,2
0,23;2023-05;4,12;59,07;13,75;0,13;1,36;4,97;108632,0;4137,88;12354,13;1985,9
-0,08;2023-06;3,88;58,93;13,75;0,14;1,37;4,85;118087,0;4365,69;13502,2;1944,6
0,12;2023-07;3,13;58,59;13,75;0,14;1,38;4,8;119076,0;4528,83;14061,09;1959,65
0,23;2023-08;3,93;58,68;13,25;0,14;1,39;4,9;117535,0;4467,71;13722,02;1917,9
0,26;2023-09;4,52;58,67;13,25;0,14;1,4;4,93;117107,0;4450,73;13709,29;1918,25
0,24;2023-10;5,07;58,58;12,75;0,13;1,41;5,06;114004,0;4270,88;13227,92;1925,05
0,28;2023-11;4,72;58,25;12,25;0,13;1,41;4,89;124819,0;4502,88;14103,84;1982,75
0,56;2023-12;4,59;57,99;11,75;0,13;1,42;4,9;130197,0;4713,14;14769,75;2030,35
0,42;2024-01;4,53;57,63;11,75;0,13;1,42;4,92;129130,5;4783,45;14972,76;2026,0
0,83;2024-02;4,42;57,5;11,25;0,13;1,42;4,97;129036,0;5003,09;15826,43;2028,0
0,16;2024-03;4,41;57,64;11,25;0,13;1,42;4,98;127690,5;5161,33;16236,57;2160,55
